"Experiment","Role","Path","Bytes","Modified"
"01","Document / other","planning-iterations/generation-prompts.md","4103","2026-09-09 14:53:41"
"01","Document / other","planning-iterations/README.md","2336","2026-09-09 14:53:41"
"01","Image","planning-iterations/C2-landscape-with-actual-interiors.png","11875775","2026-09-09 14:51:35"
"01","Image","planning-iterations/interior-overlay-preview.jpg","37136","2026-09-09 14:44:36"
"01","Image","planning-iterations/option-a-generated.png","2577788","2026-09-09 14:14:48"
"01","Image","planning-iterations/option-a-masses-only.jpg","44019","2026-09-09 14:13:08"
"01","Image","planning-iterations/option-a-rhino.jpg","51304","2026-09-09 14:09:14"
"01","Image","planning-iterations/option-b-generated.png","2827962","2026-09-09 14:15:36"
"01","Image","planning-iterations/option-b-masses-only.jpg","44126","2026-09-09 14:13:09"
"01","Image","planning-iterations/option-b-rhino.jpg","49147","2026-09-09 14:09:15"
"01","Image","planning-iterations/option-c2-generated.png","2671428","2026-09-09 14:22:49"
"01","Image","planning-iterations/option-c-generated.png","2749279","2026-09-09 14:16:26"
"01","Image","planning-iterations/option-c-masses-only.jpg","43332","2026-09-09 14:13:10"
"01","Image","planning-iterations/option-c-rhino.jpg","49254","2026-09-09 14:09:16"
"01","Rhino model","planning-iterations/C2-campus-interior-presentation.3dm","17887232","2026-09-09 14:51:36"
"02","Document / other","planning-iterations/interior-led/prompts.md","6451","2026-09-09 15:18:28"
"02","Document / other","planning-iterations/interior-led/README.md","3125","2026-09-09 15:18:28"
"02","Image","planning-iterations/interior-led/detail-0.jpg","70166","2026-09-09 15:00:01"
"02","Image","planning-iterations/interior-led/detail-1.jpg","43691","2026-09-09 15:00:01"
"02","Image","planning-iterations/interior-led/detail-2.jpg","44078","2026-09-09 15:00:02"
"02","Image","planning-iterations/interior-led/detail-3.jpg","60927","2026-09-09 15:00:02"
"02","Image","planning-iterations/interior-led/E-exact-interior.jpg","37461","2026-09-09 15:10:08"
"02","Image","planning-iterations/interior-led/generated-draft.png","3402211","2026-09-09 15:05:42"
"02","Image","planning-iterations/interior-led/generated-refined.png","3175390","2026-09-09 15:08:41"
"02","Image","planning-iterations/interior-led/interior-led-garden-campus-final.png","2956371","2026-09-09 15:12:30"
"02","Image","planning-iterations/interior-led/oriented-detail-0.jpg","65991","2026-09-09 15:03:55"
"02","Image","planning-iterations/interior-led/oriented-detail-1.jpg","53964","2026-09-09 15:03:55"
"02","Image","planning-iterations/interior-led/oriented-detail-2.jpg","46745","2026-09-09 15:03:55"
"02","Image","planning-iterations/interior-led/oriented-detail-3.jpg","56669","2026-09-09 15:03:55"
"02","Image","planning-iterations/interior-led/rhino-actual-plans.jpg","49940","2026-09-09 15:03:03"
"02","Image","planning-iterations/interior-led/rhino-actual-plans-hires.png","361379","2026-09-09 15:03:51"
"02","Image","planning-iterations/interior-led/rhino-final.jpg","63322","2026-09-09 15:15:32"
"02","Rhino model","planning-iterations/interior-led/interior-led-garden-campus.3dm","35913728","2026-09-09 15:16:47"
"03","Data / report","planning-iterations/image-first-three/option-layouts.json","12376","2026-09-10 12:12:04"
